Entity,Code,Year,Solar Generation - TWh,Solar Capacity,Continent
Abkhazia,OWID_ABK,2015,,,Asia
Afghanistan,AFG,2015,,,Asia
Africa,,1965,0,,
Africa,,1966,0,,
Africa,,1967,0,,
Africa,,1968,0,,
Africa,,1969,0,,
Africa,,1970,0,,
Africa,,1971,0,,
Africa,,1972,0,,
Africa,,1973,0,,
Africa,,1974,0,,
Africa,,1975,0,,
Africa,,1976,0,,
Africa,,1977,0,,
Africa,,1978,0,,
Africa,,1979,0,,
Africa,,1980,0,,
Africa,,1981,0,,
Africa,,1982,0,,
Africa,,1983,0,,
Africa,,1984,0,,
Africa,,1985,0,,
Africa,,1986,0,,
Africa,,1987,0,,
Africa,,1988,0,,
Africa,,1989,0,,
Africa,,1990,0,,
Africa,,1991,0,,
Africa,,1992,0,,
Africa,,1993,0,,
Africa,,1994,0,,
Africa,,1995,0,,
Africa,,1996,0,0.0010124252185918085,
Africa,,1997,0,0.0030372756557754247,
Africa,,1998,0,0.0050621260929590425,
Africa,,1999,0,0.00809940174873447,
Africa,,2000,11.941,0.010927,
Africa,,2001,14.959999999999999,0.013029000000000002,
Africa,,2002,17.87101,0.015243000000000001,
Africa,,2003,21.32901,0.018019,
Africa,,2004,25.761010000000002,0.021995999999999998,
Africa,,2005,30.67601,0.025965000000000002,
Africa,,2006,38.95701,0.03426800000000001,
Africa,,2007,51.533293,0.04665600000000001,
Africa,,2008,73.232202,0.06336699999999999,
Africa,,2009,96.152927,0.10683799999999999,
Africa,,2010,212.52075000000002,0.193825,
Africa,,2011,601.454301,0.26635200000000003,
Africa,,2012,994.443126,0.32335200000000003,
Africa,,2013,788.9101400000001,0.6597869999999998,
Africa,,2014,1937.70017,1.5648680000000001,
Africa,,2015,3592.173384,1.9314580000000001,
Africa,,2016,5120.19689,2.9742319999999998,
Africa,,2017,6902.446607,4.691427,
Africa,,2018,8295.433824,7.096161000000002,
Africa,,2019,10906.90156,8.276541000000002,
Africa,,2020,12407.78213,9.505,
Akrotiri and Dhekelia,OWID_AKD,2015,,,Asia
Albania,ALB,2015,,,Europe
Algeria,DZA,1965,0,,
Algeria,DZA,1966,0,,
Algeria,DZA,1967,0,,
Algeria,DZA,1968,0,,
Algeria,DZA,1969,0,,
Algeria,DZA,1970,0,,
Algeria,DZA,1971,0,,
Algeria,DZA,1972,0,,
Algeria,DZA,1973,0,,
Algeria,DZA,1974,0,,
Algeria,DZA,1975,0,,
Algeria,DZA,1976,0,,
Algeria,DZA,1977,0,,
Algeria,DZA,1978,0,,
Algeria,DZA,1979,0,,
Algeria,DZA,1980,0,,
Algeria,DZA,1981,0,,
Algeria,DZA,1982,0,,
Algeria,DZA,1983,0,,
Algeria,DZA,1984,0,,
Algeria,DZA,1985,0,,
Algeria,DZA,1986,0,,
Algeria,DZA,1987,0,,
Algeria,DZA,1988,0,,
Algeria,DZA,1989,0,,
Algeria,DZA,1990,0,,
Algeria,DZA,1991,0,,
Algeria,DZA,1992,0,,
Algeria,DZA,1993,0,,
Algeria,DZA,1994,0,,
Algeria,DZA,1995,0,,
Algeria,DZA,1996,0,0,
Algeria,DZA,1997,0,0,
Algeria,DZA,1998,0,0,
Algeria,DZA,1999,0,0,
Algeria,DZA,2000,0,0,
Algeria,DZA,2001,0,0,
Algeria,DZA,2002,0,0,
Algeria,DZA,2003,0,0,
Algeria,DZA,2004,0,0,
Algeria,DZA,2005,0,0,
Algeria,DZA,2006,0,0,
Algeria,DZA,2007,0,0,
Algeria,DZA,2008,0,0,
Algeria,DZA,2009,0,0,
Algeria,DZA,2010,9.1,0,
Algeria,DZA,2011,18.11875,0,
Algeria,DZA,2012,26.723014,0,
Algeria,DZA,2013,28.6,0,
Algeria,DZA,2014,60,0.0011,
Algeria,DZA,2015,58,0.049100000000000005,Africa
Algeria,DZA,2016,245,0.2191,
Algeria,DZA,2017,504,0.4,
Algeria,DZA,2018,603,0.423,
Algeria,DZA,2019,615,0.423,
Algeria,DZA,2020,600,0.423,
American Samoa,ASM,2015,,,Oceania
Andorra,AND,2015,,,Europe
Angola,AGO,2015,,,Africa
Anguilla,AIA,2015,,,North America
Antarctica,ATA,2015,,,Antarctica
Antigua and Barbuda,ATG,2015,,,North America
Argentina,ARG,1965,0,,
Argentina,ARG,1966,0,,
Argentina,ARG,1967,0,,
Argentina,ARG,1968,0,,
Argentina,ARG,1969,0,,
Argentina,ARG,1970,0,,
Argentina,ARG,1971,0,,
Argentina,ARG,1972,0,,
Argentina,ARG,1973,0,,
Argentina,ARG,1974,0,,
Argentina,ARG,1975,0,,
Argentina,ARG,1976,0,,
Argentina,ARG,1977,0,,
Argentina,ARG,1978,0,,
Argentina,ARG,1979,0,,
Argentina,ARG,1980,0,,
Argentina,ARG,1981,0,,
Argentina,ARG,1982,0,,
Argentina,ARG,1983,0,,
Argentina,ARG,1984,0,,
Argentina,ARG,1985,0,,
Argentina,ARG,1986,0,,
Argentina,ARG,1987,0,,
Argentina,ARG,1988,0,,
Argentina,ARG,1989,0,,
Argentina,ARG,1990,0,,
Argentina,ARG,1991,0,,
Argentina,ARG,1992,0,,
Argentina,ARG,1993,0,,
Argentina,ARG,1994,0,,
Argentina,ARG,1995,0,,
Argentina,ARG,1996,0,0,
Argentina,ARG,1997,0,0,
Argentina,ARG,1998,0.017,0,
Argentina,ARG,1999,0.026,0,
Argentina,ARG,2000,0.036000000000000004,0,
Argentina,ARG,2001,0.043000000000000003,0,
Argentina,ARG,2002,0.047,0,
Argentina,ARG,2003,0.06499999999999999,0,
Argentina,ARG,2004,0.06999999999999999,0,
Argentina,ARG,2005,0.081,0,
Argentina,ARG,2006,0.09000000000000001,0,
Argentina,ARG,2007,0.10890000000000001,0,
Argentina,ARG,2008,0.1437,0,
Argentina,ARG,2009,0.076084,0,
Argentina,ARG,2010,0.08589000000000001,0,
Argentina,ARG,2011,1.6139999999999999,0.001,
Argentina,ARG,2012,8.172967,0.006,
Argentina,ARG,2013,15.074079000000001,0.008,
Argentina,ARG,2014,15.943999999999999,0.008,
Argentina,ARG,2015,14.683,0.009000000000000001,South America
Argentina,ARG,2016,14.273,0.009000000000000001,
Argentina,ARG,2017,16.417,0.009000000000000001,
Argentina,ARG,2018,108.13000000000001,0.191,
Argentina,ARG,2019,799.6979130000001,0.442,
Argentina,ARG,2020,1344.340935,0.764,
Armenia,ARM,2015,,,Asia
Aruba,ABW,2015,,,North America
Asia Pacific,,1965,0,,
Asia Pacific,,1966,0,,
Asia Pacific,,1967,0,,
Asia Pacific,,1968,0,,
Asia Pacific,,1969,0,,
Asia Pacific,,1970,0,,
Asia Pacific,,1971,0,,
Asia Pacific,,1972,0,,
Asia Pacific,,1973,0,,
Asia Pacific,,1974,0,,
Asia Pacific,,1975,0,,
Asia Pacific,,1976,0,,
Asia Pacific,,1977,0,,
Asia Pacific,,1978,0,,
Asia Pacific,,1979,0,,
Asia Pacific,,1980,0,,
Asia Pacific,,1981,0,,
Asia Pacific,,1982,0,,
Asia Pacific,,1983,0,,
Asia Pacific,,1984,0,,
Asia Pacific,,1985,0,,
Asia Pacific,,1986,0,,
Asia Pacific,,1987,0,,
Asia Pacific,,1988,0,,
Asia Pacific,,1989,0,,
Asia Pacific,,1990,4,,
Asia Pacific,,1991,9.45,,
Asia Pacific,,1992,27.599999999999998,,
Asia Pacific,,1993,43.1,,
Asia Pacific,,1994,53.400000000000006,,
Asia Pacific,,1995,70.660101,,
Asia Pacific,,1996,98.160606,0.077,
Asia Pacific,,1997,147.01545199999998,0.1125,
